org_name,repo_name,package_name,dependency_name,is_open_source
InfoMGHAS-KR,repo-vulnerabilities,requirements.txt,flask==3.0.0,true
InfoMGHAS-KR,test-juice,package.json,body-parser,true
InfoMGHAS-KR,test-juice,package.json,check-dependencies,true
InfoMGHAS-KR,test-juice,package.json,check-internet-connected,true
InfoMGHAS-KR,test-juice,package.json,clarinet,true
InfoMGHAS-KR,test-juice,package.json,colors,true
InfoMGHAS-KR,test-juice,package.json,compression,true
InfoMGHAS-KR,test-juice,package.json,config,true
InfoMGHAS-KR,test-juice,package.json,cookie-parser,true
InfoMGHAS-KR,test-juice,package.json,cors,true
InfoMGHAS-KR,test-juice,package.json,dottie,true
InfoMGHAS-KR,test-juice,package.json,download,true
InfoMGHAS-KR,test-juice,package.json,errorhandler,true
InfoMGHAS-KR,test-juice,package.json,ethers,true
InfoMGHAS-KR,test-juice,package.json,express,true
InfoMGHAS-KR,test-juice,package.json,express-ipfilter,true
InfoMGHAS-KR,test-juice,package.json,express-jwt,true
InfoMGHAS-KR,test-juice,package.json,express-rate-limit,true
InfoMGHAS-KR,test-juice,package.json,express-robots-txt,true
InfoMGHAS-KR,test-juice,package.json,express-security.txt,true
InfoMGHAS-KR,test-juice,package.json,feature-policy,true
InfoMGHAS-KR,test-juice,package.json,file-stream-rotator,true
InfoMGHAS-KR,test-juice,package.json,file-type,true
InfoMGHAS-KR,test-juice,package.json,filesniffer,true
InfoMGHAS-KR,test-juice,package.json,finale-rest,true
InfoMGHAS-KR,test-juice,package.json,fs-extra,true
InfoMGHAS-KR,test-juice,package.json,fuzzball,true
InfoMGHAS-KR,test-juice,package.json,glob,true
InfoMGHAS-KR,test-juice,package.json,graceful-fs,true
InfoMGHAS-KR,test-juice,package.json,grunt,true
InfoMGHAS-KR,test-juice,package.json,grunt-contrib-compress,true
InfoMGHAS-KR,test-juice,package.json,grunt-replace-json,true
InfoMGHAS-KR,test-juice,package.json,hashids,true
InfoMGHAS-KR,test-juice,package.json,hbs,true
InfoMGHAS-KR,test-juice,package.json,helmet,true
InfoMGHAS-KR,test-juice,package.json,html-entities,true
InfoMGHAS-KR,test-juice,package.json,i18n,true
InfoMGHAS-KR,test-juice,package.json,js-yaml,true
InfoMGHAS-KR,test-juice,package.json,jsonwebtoken,true
InfoMGHAS-KR,test-juice,package.json,jssha,true
InfoMGHAS-KR,test-juice,package.json,juicy-chat-bot,true
InfoMGHAS-KR,test-juice,package.json,libxmljs,true
InfoMGHAS-KR,test-juice,package.json,marsdb,true
InfoMGHAS-KR,test-juice,package.json,median,true
InfoMGHAS-KR,test-juice,package.json,morgan,true
InfoMGHAS-KR,test-juice,package.json,multer,true
InfoMGHAS-KR,test-juice,package.json,node-pre-gyp,true
InfoMGHAS-KR,test-juice,package.json,notevil,true
InfoMGHAS-KR,test-juice,package.json,on-finished,true
InfoMGHAS-KR,test-juice,package.json,otplib,true
InfoMGHAS-KR,test-juice,package.json,pdfkit,true
InfoMGHAS-KR,test-juice,package.json,portscanner,true
InfoMGHAS-KR,test-juice,package.json,prom-client,true
InfoMGHAS-KR,test-juice,package.json,pug,true
InfoMGHAS-KR,test-juice,package.json,replace,true
InfoMGHAS-KR,test-juice,package.json,sanitize-filename,true
InfoMGHAS-KR,test-juice,package.json,sanitize-html,true
InfoMGHAS-KR,test-juice,package.json,semver,true
InfoMGHAS-KR,test-juice,package.json,sequelize,true
InfoMGHAS-KR,test-juice,package.json,serve-index,true
InfoMGHAS-KR,test-juice,package.json,socket.io,true
InfoMGHAS-KR,test-juice,package.json,sqlite3,true
InfoMGHAS-KR,test-juice,package.json,svg-captcha,true
InfoMGHAS-KR,test-juice,package.json,swagger-ui-express,true
InfoMGHAS-KR,test-juice,package.json,ts-node-dev,true
InfoMGHAS-KR,test-juice,package.json,unzipper,true
InfoMGHAS-KR,test-juice,package.json,web3,true
InfoMGHAS-KR,test-juice,package.json,winston,true
InfoMGHAS-KR,test-juice,package.json,yaml-schema-validator,true
InfoMGHAS-KR,test-juice,package.json,z85,true
InfoMGHAS-KR,test-juice,package.json,@cyclonedx/cyclonedx-npm,true
InfoMGHAS-KR,test-juice,package.json,@istanbuljs/nyc-config-typescript,true
InfoMGHAS-KR,test-juice,package.json,@types/chai,true
InfoMGHAS-KR,test-juice,package.json,@types/clarinet,true
InfoMGHAS-KR,test-juice,package.json,@types/compression,true
InfoMGHAS-KR,test-juice,package.json,@types/config,true
InfoMGHAS-KR,test-juice,package.json,@types/cookie-parser,true
InfoMGHAS-KR,test-juice,package.json,@types/cors,true
InfoMGHAS-KR,test-juice,package.json,@types/cross-spawn,true
InfoMGHAS-KR,test-juice,package.json,@types/cypress,true
InfoMGHAS-KR,test-juice,package.json,@types/diff,true
InfoMGHAS-KR,test-juice,package.json,@types/download,true
InfoMGHAS-KR,test-juice,package.json,@types/errorhandler,true
InfoMGHAS-KR,test-juice,package.json,@types/exif,true
InfoMGHAS-KR,test-juice,package.json,@types/express,true
InfoMGHAS-KR,test-juice,package.json,@types/express-jwt,true
InfoMGHAS-KR,test-juice,package.json,@types/frisby,true
InfoMGHAS-KR,test-juice,package.json,@types/fs-extra,true
InfoMGHAS-KR,test-juice,package.json,@types/glob,true
InfoMGHAS-KR,test-juice,package.json,@types/graceful-fs,true
InfoMGHAS-KR,test-juice,package.json,@types/i18n,true
InfoMGHAS-KR,test-juice,package.json,@types/jasmine,true
InfoMGHAS-KR,test-juice,package.json,@types/jest,true
InfoMGHAS-KR,test-juice,package.json,@types/js-yaml,true
InfoMGHAS-KR,test-juice,package.json,@types/jsonwebtoken,true
InfoMGHAS-KR,test-juice,package.json,@types/jws,true
InfoMGHAS-KR,test-juice,package.json,@types/lodash,true
InfoMGHAS-KR,test-juice,package.json,@types/mocha,true
InfoMGHAS-KR,test-juice,package.json,@types/morgan,true
InfoMGHAS-KR,test-juice,package.json,@types/multer,true
InfoMGHAS-KR,test-juice,package.json,@types/node,true
InfoMGHAS-KR,test-juice,package.json,@types/on-finished,true
InfoMGHAS-KR,test-juice,package.json,@types/pdfkit,true
InfoMGHAS-KR,test-juice,package.json,@types/portscanner,true
InfoMGHAS-KR,test-juice,package.json,@types/pug,true
InfoMGHAS-KR,test-juice,package.json,@types/request,true
InfoMGHAS-KR,test-juice,package.json,@types/sanitize-html,true
InfoMGHAS-KR,test-juice,package.json,@types/semver,true
InfoMGHAS-KR,test-juice,package.json,@types/sequelize,true
InfoMGHAS-KR,test-juice,package.json,@types/serve-index,true
InfoMGHAS-KR,test-juice,package.json,@types/sinon,true
InfoMGHAS-KR,test-juice,package.json,@types/sinon-chai,true
InfoMGHAS-KR,test-juice,package.json,@types/socket.io,true
InfoMGHAS-KR,test-juice,package.json,@types/socket.io-client,true
InfoMGHAS-KR,test-juice,package.json,@types/swagger-ui-express,true
InfoMGHAS-KR,test-juice,package.json,@types/unzipper,true
InfoMGHAS-KR,test-juice,package.json,@types/validator,true
InfoMGHAS-KR,test-juice,package.json,@typescript-eslint/eslint-plugin,true
InfoMGHAS-KR,test-juice,package.json,@typescript-eslint/parser,true
InfoMGHAS-KR,test-juice,package.json,chai,true
InfoMGHAS-KR,test-juice,package.json,concurrently,true
InfoMGHAS-KR,test-juice,package.json,cross-spawn,true
InfoMGHAS-KR,test-juice,package.json,cypress,true
InfoMGHAS-KR,test-juice,package.json,eslint,true
InfoMGHAS-KR,test-juice,package.json,eslint-config-standard-with-typescript,true
InfoMGHAS-KR,test-juice,package.json,eslint-plugin-import,true
InfoMGHAS-KR,test-juice,package.json,eslint-plugin-node,true
InfoMGHAS-KR,test-juice,package.json,eslint-plugin-promise,true
InfoMGHAS-KR,test-juice,package.json,exif,true
InfoMGHAS-KR,test-juice,package.json,frisby,true
InfoMGHAS-KR,test-juice,package.json,grunt-cli,true
InfoMGHAS-KR,test-juice,package.json,http-server,true
InfoMGHAS-KR,test-juice,package.json,jasmine,true
InfoMGHAS-KR,test-juice,package.json,jasmine-core,true
InfoMGHAS-KR,test-juice,package.json,jasmine-reporters,true
InfoMGHAS-KR,test-juice,package.json,jest,true
InfoMGHAS-KR,test-juice,package.json,mocha,true
InfoMGHAS-KR,test-juice,package.json,nyc,true
InfoMGHAS-KR,test-juice,package.json,shelljs,true
InfoMGHAS-KR,test-juice,package.json,sinon,true
InfoMGHAS-KR,test-juice,package.json,sinon-chai,true
InfoMGHAS-KR,test-juice,package.json,socket.io-client,true
InfoMGHAS-KR,test-juice,package.json,source-map-support,true
InfoMGHAS-KR,test-juice,package.json,ts-jest,true
InfoMGHAS-KR,test-juice,package.json,ts-node,true
InfoMGHAS-KR,test-juice,package.json,typescript,true
InfoMGHAS-KR,ghas_licensing_info,requirements.txt,requests>=2.25.0,true
InfoMGHAS-KR,ghas_licensing_info,requirements.txt,python-dotenv>=0.19.0,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,flask==2.0.1,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,werkzeug==2.0.1,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,jinja2==3.0.1,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,sqlalchemy==1.4.15,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,psycopg2-binary==2.8.6,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,alembic==1.6.5,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,pyjwt==2.1.0  # Has known vulnerabilities,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,cryptography==3.4.7,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,bcrypt==3.2.0,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,requests==2.25.1,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,pyyaml==5.4.1  # Has known vulnerabilities,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,pandas==1.2.4,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,numpy==1.20.3,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,pytest==6.2.4,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,pytest-cov==2.12.0,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,scikit-learn==0.24.2,true
InfoMGHAS-KR,GHAS-new-features,requirements.txt,tensorflow==2.5.0  # Has known vulnerabilities,true
InfoMGHAS-KR,GHAS-new-features,package.json,express,true
InfoMGHAS-KR,GHAS-new-features,package.json,lodash,true
InfoMGHAS-KR,GHAS-new-features,package.json,axios,true
InfoMGHAS-KR,GHAS-new-features,package.json,jsonwebtoken,true
InfoMGHAS-KR,GHAS-new-features,package.json,mongoose,true
InfoMGHAS-KR,GHAS-new-features,package.json,helmet,true
InfoMGHAS-KR,GHAS-new-features,package.json,dotenv,true
InfoMGHAS-KR,GHAS-new-features,package.json,@types/express,true
InfoMGHAS-KR,GHAS-new-features,package.json,@types/jest,true
InfoMGHAS-KR,GHAS-new-features,package.json,@types/lodash,true
InfoMGHAS-KR,GHAS-new-features,package.json,@types/node,true
InfoMGHAS-KR,GHAS-new-features,package.json,eslint,true
InfoMGHAS-KR,GHAS-new-features,package.json,jest,true
InfoMGHAS-KR,GHAS-new-features,package.json,typescript,true
InfoMGHAS-KR,ghas-juiceshop,package.json,body-parser,true
InfoMGHAS-KR,ghas-juiceshop,package.json,check-dependencies,true
InfoMGHAS-KR,ghas-juiceshop,package.json,check-internet-connected,true
InfoMGHAS-KR,ghas-juiceshop,package.json,clarinet,true
InfoMGHAS-KR,ghas-juiceshop,package.json,colors,true
InfoMGHAS-KR,ghas-juiceshop,package.json,compression,true
InfoMGHAS-KR,ghas-juiceshop,package.json,concurrently,true
InfoMGHAS-KR,ghas-juiceshop,package.json,config,true
InfoMGHAS-KR,ghas-juiceshop,package.json,cookie-parser,true
InfoMGHAS-KR,ghas-juiceshop,package.json,cors,true
InfoMGHAS-KR,ghas-juiceshop,package.json,dottie,true
InfoMGHAS-KR,ghas-juiceshop,package.json,download,true
InfoMGHAS-KR,ghas-juiceshop,package.json,errorhandler,true
InfoMGHAS-KR,ghas-juiceshop,package.json,ethers,true
InfoMGHAS-KR,ghas-juiceshop,package.json,exif,true
InfoMGHAS-KR,ghas-juiceshop,package.json,express,true
InfoMGHAS-KR,ghas-juiceshop,package.json,express-ipfilter,true
InfoMGHAS-KR,ghas-juiceshop,package.json,express-jwt,true
InfoMGHAS-KR,ghas-juiceshop,package.json,express-rate-limit,true
InfoMGHAS-KR,ghas-juiceshop,package.json,express-robots-txt,true
InfoMGHAS-KR,ghas-juiceshop,package.json,express-security.txt,true
InfoMGHAS-KR,ghas-juiceshop,package.json,feature-policy,true
InfoMGHAS-KR,ghas-juiceshop,package.json,file-stream-rotator,true
InfoMGHAS-KR,ghas-juiceshop,package.json,file-type,true
InfoMGHAS-KR,ghas-juiceshop,package.json,filesniffer,true
InfoMGHAS-KR,ghas-juiceshop,package.json,finale-rest,true
InfoMGHAS-KR,ghas-juiceshop,package.json,fs-extra,true
InfoMGHAS-KR,ghas-juiceshop,package.json,fuzzball,true
InfoMGHAS-KR,ghas-juiceshop,package.json,glob,true
InfoMGHAS-KR,ghas-juiceshop,package.json,graceful-fs,true
InfoMGHAS-KR,ghas-juiceshop,package.json,grunt,true
InfoMGHAS-KR,ghas-juiceshop,package.json,grunt-contrib-compress,true
InfoMGHAS-KR,ghas-juiceshop,package.json,grunt-replace-json,true
InfoMGHAS-KR,ghas-juiceshop,package.json,hashids,true
InfoMGHAS-KR,ghas-juiceshop,package.json,hbs,true
InfoMGHAS-KR,ghas-juiceshop,package.json,helmet,true
InfoMGHAS-KR,ghas-juiceshop,package.json,html-entities,true
InfoMGHAS-KR,ghas-juiceshop,package.json,i18n,true
InfoMGHAS-KR,ghas-juiceshop,package.json,js-yaml,true
InfoMGHAS-KR,ghas-juiceshop,package.json,jsonwebtoken,true
InfoMGHAS-KR,ghas-juiceshop,package.json,jssha,true
InfoMGHAS-KR,ghas-juiceshop,package.json,juicy-chat-bot,true
InfoMGHAS-KR,ghas-juiceshop,package.json,libxmljs,true
InfoMGHAS-KR,ghas-juiceshop,package.json,marsdb,true
InfoMGHAS-KR,ghas-juiceshop,package.json,median,true
InfoMGHAS-KR,ghas-juiceshop,package.json,morgan,true
InfoMGHAS-KR,ghas-juiceshop,package.json,multer,true
InfoMGHAS-KR,ghas-juiceshop,package.json,node-pre-gyp,true
InfoMGHAS-KR,ghas-juiceshop,package.json,notevil,true
InfoMGHAS-KR,ghas-juiceshop,package.json,on-finished,true
InfoMGHAS-KR,ghas-juiceshop,package.json,otplib,true
InfoMGHAS-KR,ghas-juiceshop,package.json,pdfkit,true
InfoMGHAS-KR,ghas-juiceshop,package.json,portscanner,true
InfoMGHAS-KR,ghas-juiceshop,package.json,prom-client,true
InfoMGHAS-KR,ghas-juiceshop,package.json,pug,true
InfoMGHAS-KR,ghas-juiceshop,package.json,replace,true
